2024-11-13T13:08:19.882015 - ADD: Added: Bruce Schneier, 12345
2024-11-13T13:08:19.897549 - DELETE: Deleted by phone number and person: 12345,Bruce Schneier
2024-11-13T13:08:20.213500 - ADD: Added: Bruce Schneier, (703)111-2121
2024-11-13T13:08:20.230026 - DELETE: Deleted by phone number and person: (703)111-2121,Bruce Schneier
2024-11-13T13:08:20.538422 - ADD: Added: Bruce Schneier, 123-1234
2024-11-13T13:08:20.545914 - DELETE: Deleted by phone number and person: 123-1234,Bruce Schneier
2024-11-13T13:08:21.641168 - ADD: Added: Bruce Schneier, 1(703)123-1234
2024-11-13T13:08:21.648352 - DELETE: Deleted by phone number and person: 1(703)123-1234,Bruce Schneier
2024-11-13T13:08:22.018534 - ADD: Added: Bruce Schneier, 011 701 111 1234
2024-11-13T13:08:22.036204 - DELETE: Deleted by phone number and person: 011 701 111 1234,Bruce Schneier
2024-11-13T13:08:22.375891 - ADD: Added: Bruce Schneier, 12345.12345
2024-11-13T13:08:22.391789 - DELETE: Deleted by phone number and person: 12345.12345,Bruce Schneier
2024-11-13T13:08:22.700438 - ADD: Added: Bruce Schneier, 011 1 703 111 1234
2024-11-13T13:08:22.716984 - DELETE: Deleted by phone number and person: 011 1 703 111 1234,Bruce Schneier
2024-11-13T13:08:23.024848 - ADD: Added: Bruce Schneier, 22.22.22.22
2024-11-13T13:08:23.040542 - DELETE: Deleted by phone number and person: 22.22.22.22,Bruce Schneier
2024-11-13T13:08:23.363065 - ADD: Added: Bruce Schneier, 2222.2222
2024-11-13T13:08:23.379029 - DELETE: Deleted by phone number and person: 2222.2222,Bruce Schneier
2024-11-13T13:08:23.690076 - ADD: Added: Bruce Schneier, 111 111 1111
2024-11-13T13:08:23.706111 - DELETE: Deleted by phone number and person: 111 111 1111,Bruce Schneier
2024-11-13T13:08:24.022821 - ADD: Added: Bruce Schneier, (670)123-4567
2024-11-13T13:08:24.038601 - DELETE: Deleted by phone number and person: (670)123-4567,Bruce Schneier
2024-11-13T13:08:24.362015 - ADD: Added: Bruce Schneier, 670-123-4567
2024-11-13T13:08:24.362015 - DELETE: Deleted by phone number and person: 670-123-4567,Bruce Schneier
2024-11-13T13:08:24.698718 - ADD: Added: Bruce Schneier, 1-670-123-4567
2024-11-13T13:08:24.726565 - DELETE: Deleted by phone number and person: 1-670-123-4567,Bruce Schneier
2024-11-13T13:08:25.074938 - ADD: Added: Bruce Schneier, 1(670)123-4567
2024-11-13T13:08:25.090660 - DELETE: Deleted by phone number and person: 1(670)123-4567,Bruce Schneier
2024-11-13T13:08:25.401653 - ADD: Added: Bruce Schneier, 670 123 4567
2024-11-13T13:08:25.417647 - DELETE: Deleted by phone number and person: 670 123 4567,Bruce Schneier
2024-11-13T13:08:25.731752 - ADD: Added: Bruce Schneier, 670.123.4567
2024-11-13T13:08:25.747817 - DELETE: Deleted by phone number and person: 670.123.4567,Bruce Schneier
2024-11-13T13:08:26.056938 - ADD: Added: Bruce Schneier, 1 670 123 4567
2024-11-13T13:08:26.066446 - DELETE: Deleted by phone number and person: 1 670 123 4567,Bruce Schneier
2024-11-13T13:08:26.381512 - ADD: Added: Bruce Schneier, 1.670.123.4567
2024-11-13T13:08:26.389971 - DELETE: Deleted by phone number and person: 1.670.123.4567,Bruce Schneier
2024-11-13T13:08:36.700369 - DELETE: Deleted by phone number and person: 2222.2222,Schneier, Bruce Wayne
2024-11-13T13:08:37.014231 - ADD: Added: Schneier, Bruce Wayne, 111 111 1111
2024-11-13T13:08:37.028833 - DELETE: Deleted by phone number and person: 111 111 1111,Schneier, Bruce Wayne
2024-11-13T13:08:37.343570 - ADD: Added: Schneier, Bruce Wayne, (670)123-4567
2024-11-13T13:08:37.343570 - DELETE: Deleted by phone number and person: (670)123-4567,Schneier, Bruce Wayne
2024-11-13T13:08:37.661978 - ADD: Added: Schneier, Bruce Wayne, 670-123-4567
2024-11-13T13:08:37.665364 - DELETE: Deleted by phone number and person: 670-123-4567,Schneier, Bruce Wayne
2024-11-13T13:08:37.997366 - ADD: Added: Schneier, Bruce Wayne, 1-670-123-4567
2024-11-13T13:08:38.015431 - DELETE: Deleted by phone number and person: 1-670-123-4567,Schneier, Bruce Wayne
2024-11-13T13:08:38.315948 - ADD: Added: Schneier, Bruce Wayne, 1(670)123-4567
2024-11-13T13:08:38.331022 - DELETE: Deleted by phone number and person: 1(670)123-4567,Schneier, Bruce Wayne
2024-11-13T13:08:38.650974 - ADD: Added: Schneier, Bruce Wayne, 670 123 4567
2024-11-13T13:08:38.672560 - DELETE: Deleted by phone number and person: 670 123 4567,Schneier, Bruce Wayne
2024-11-13T13:08:39.013125 - ADD: Added: Schneier, Bruce Wayne, 670.123.4567
2024-11-13T13:08:39.020926 - DELETE: Deleted by phone number and person: 670.123.4567,Schneier, Bruce Wayne
2024-11-13T13:08:39.330206 - ADD: Added: Schneier, Bruce Wayne, 1 670 123 4567
2024-11-13T13:08:39.345869 - DELETE: Deleted by phone number and person: 1 670 123 4567,Schneier, Bruce Wayne
2024-11-13T13:08:39.658889 - ADD: Added: Schneier, Bruce Wayne, 1.670.123.4567
2024-11-13T13:08:39.674672 - DELETE: Deleted by phone number and person: 1.670.123.4567,Schneier, Bruce Wayne
2024-11-13T13:08:39.974251 - ADD: Added: O’Malley, John F., 12345
2024-11-13T13:08:40.005629 - DELETE: Deleted by phone number and person: 12345,O’Malley, John F.
2024-11-13T13:08:40.320034 - ADD: Added: O’Malley, John F., (703)111-2121
2024-11-13T13:08:40.336808 - DELETE: Deleted by phone number and person: (703)111-2121,O’Malley, John F.
2024-11-13T13:08:40.628677 - ADD: Added: O’Malley, John F., 123-1234
2024-11-13T13:08:40.649538 - DELETE: Deleted by phone number and person: 123-1234,O’Malley, John F.
2024-11-13T13:08:41.548992 - ADD: Added: O’Malley, John F., 1(703)123-1234
2024-11-13T13:08:41.565075 - DELETE: Deleted by phone number and person: 1(703)123-1234,O’Malley, John F.
2024-11-13T13:08:41.872579 - ADD: Added: O’Malley, John F., 011 701 111 1234
2024-11-13T13:08:41.888147 - DELETE: Deleted by phone number and person: 011 701 111 1234,O’Malley, John F.
2024-11-13T13:08:42.203265 - ADD: Added: O’Malley, John F., 12345.12345
2024-11-13T13:08:42.211975 - DELETE: Deleted by phone number and person: 12345.12345,O’Malley, John F.
2024-11-13T13:08:42.534967 - ADD: Added: O’Malley, John F., 011 1 703 111 1234
2024-11-13T13:08:42.534967 - DELETE: Deleted by phone number and person: 011 1 703 111 1234,O’Malley, John F.
2024-11-13T13:08:42.875634 - ADD: Added: O’Malley, John F., 22.22.22.22
2024-11-13T13:08:42.891554 - DELETE: Deleted by phone number and person: 22.22.22.22,O’Malley, John F.
2024-11-13T13:08:43.206696 - ADD: Added: O’Malley, John F., 2222.2222
2024-11-13T13:08:43.223649 - DELETE: Deleted by phone number and person: 2222.2222,O’Malley, John F.
2024-11-13T13:08:43.550510 - ADD: Added: O’Malley, John F., 111 111 1111
2024-11-13T13:08:43.566140 - DELETE: Deleted by phone number and person: 111 111 1111,O’Malley, John F.
2024-11-13T13:08:43.874785 - ADD: Added: O’Malley, John F., (670)123-4567
2024-11-13T13:08:43.890909 - DELETE: Deleted by phone number and person: (670)123-4567,O’Malley, John F.
2024-11-13T13:08:44.205744 - ADD: Added: O’Malley, John F., 670-123-4567
2024-11-13T13:08:44.221402 - DELETE: Deleted by phone number and person: 670-123-4567,O’Malley, John F.
2024-11-13T13:08:44.547192 - ADD: Added: O’Malley, John F., 1-670-123-4567
2024-11-13T13:08:44.562832 - DELETE: Deleted by phone number and person: 1-670-123-4567,O’Malley, John F.
2024-11-13T13:08:44.883465 - ADD: Added: O’Malley, John F., 1(670)123-4567
2024-11-13T13:08:44.893726 - DELETE: Deleted by phone number and person: 1(670)123-4567,O’Malley, John F.
2024-11-13T13:08:45.207797 - ADD: Added: O’Malley, John F., 670 123 4567
2024-11-13T13:08:45.225424 - DELETE: Deleted by phone number and person: 670 123 4567,O’Malley, John F.
2024-11-13T13:08:45.533810 - ADD: Added: O’Malley, John F., 670.123.4567
2024-11-13T13:08:45.551345 - DELETE: Deleted by phone number and person: 670.123.4567,O’Malley, John F.
2024-11-13T13:08:45.863353 - ADD: Added: O’Malley, John F., 1 670 123 4567
2024-11-13T13:08:45.884106 - DELETE: Deleted by phone number and person: 1 670 123 4567,O’Malley, John F.
2024-11-13T13:08:46.223453 - ADD: Added: O’Malley, John F., 1.670.123.4567
2024-11-13T13:08:46.229864 - DELETE: Deleted by phone number and person: 1.670.123.4567,O’Malley, John F.
2024-11-13T13:08:46.541853 - ADD: Added: John O’Malley-Smith, 12345
2024-11-13T13:08:46.557659 - DELETE: Deleted by phone number and person: 12345,John O’Malley-Smith
2024-11-13T13:08:46.872482 - ADD: Added: John O’Malley-Smith, (703)111-2121
2024-11-13T13:08:46.886591 - DELETE: Deleted by phone number and person: (703)111-2121,John O’Malley-Smith
2024-11-13T13:08:47.202065 - ADD: Added: John O’Malley-Smith, 123-1234
2024-11-13T13:08:47.217694 - DELETE: Deleted by phone number and person: 123-1234,John O’Malley-Smith
2024-11-13T13:08:48.156605 - ADD: Added: John O’Malley-Smith, 1(703)123-1234
2024-11-13T13:08:48.175742 - DELETE: Deleted by phone number and person: 1(703)123-1234,John O’Malley-Smith
2024-11-13T13:08:48.488688 - ADD: Added: John O’Malley-Smith, 011 701 111 1234
2024-11-13T13:08:48.507537 - DELETE: Deleted by phone number and person: 011 701 111 1234,John O’Malley-Smith
2024-11-13T13:08:48.829369 - ADD: Added: John O’Malley-Smith, 12345.12345
2024-11-13T13:08:48.840735 - DELETE: Deleted by phone number and person: 12345.12345,John O’Malley-Smith
2024-11-13T13:08:49.156577 - ADD: Added: John O’Malley-Smith, 011 1 703 111 1234
2024-11-13T13:08:49.172625 - DELETE: Deleted by phone number and person: 011 1 703 111 1234,John O’Malley-Smith
2024-11-13T13:08:49.496621 - ADD: Added: John O’Malley-Smith, 22.22.22.22
2024-11-13T13:08:49.512372 - DELETE: Deleted by phone number and person: 22.22.22.22,John O’Malley-Smith
2024-11-13T13:08:49.836430 - ADD: Added: John O’Malley-Smith, 2222.2222
2024-11-13T13:08:49.852068 - DELETE: Deleted by phone number and person: 2222.2222,John O’Malley-Smith
2024-11-13T13:08:50.168620 - ADD: Added: John O’Malley-Smith, 111 111 1111
2024-11-13T13:08:50.187125 - DELETE: Deleted by phone number and person: 111 111 1111,John O’Malley-Smith
2024-11-13T13:08:50.525005 - ADD: Added: John O’Malley-Smith, (670)123-4567
2024-11-13T13:08:50.542321 - DELETE: Deleted by phone number and person: (670)123-4567,John O’Malley-Smith
2024-11-13T13:08:50.865903 - ADD: Added: John O’Malley-Smith, 670-123-4567
2024-11-13T13:08:50.881932 - DELETE: Deleted by phone number and person: 670-123-4567,John O’Malley-Smith
2024-11-13T13:08:51.202234 - ADD: Added: John O’Malley-Smith, 1-670-123-4567
2024-11-13T13:08:51.214337 - DELETE: Deleted by phone number and person: 1-670-123-4567,John O’Malley-Smith
2024-11-13T13:08:51.533226 - ADD: Added: John O’Malley-Smith, 1(670)123-4567
2024-11-13T13:08:51.545965 - DELETE: Deleted by phone number and person: 1(670)123-4567,John O’Malley-Smith
2024-11-13T13:08:51.860511 - ADD: Added: John O’Malley-Smith, 670 123 4567
2024-11-13T13:08:51.872415 - DELETE: Deleted by phone number and person: 670 123 4567,John O’Malley-Smith
2024-11-13T13:08:52.193857 - ADD: Added: John O’Malley-Smith, 670.123.4567
2024-11-13T13:08:52.203806 - DELETE: Deleted by phone number and person: 670.123.4567,John O’Malley-Smith
2024-11-13T13:08:52.513997 - ADD: Added: John O’Malley-Smith, 1 670 123 4567
2024-11-13T13:08:52.533652 - DELETE: Deleted by phone number and person: 1 670 123 4567,John O’Malley-Smith
2024-11-13T13:08:52.847147 - ADD: Added: John O’Malley-Smith, 1.670.123.4567
2024-11-13T13:08:52.868717 - DELETE: Deleted by phone number and person: 1.670.123.4567,John O’Malley-Smith
2024-11-13T13:08:53.177369 - ADD: Added: Cher, 12345
2024-11-13T13:08:53.193044 - DELETE: Deleted by phone number and person: 12345,Cher
2024-11-13T13:08:53.516215 - ADD: Added: Cher, (703)111-2121
2024-11-13T13:08:53.534827 - DELETE: Deleted by phone number and person: (703)111-2121,Cher
2024-11-13T13:08:53.857225 - ADD: Added: Cher, 123-1234
2024-11-13T13:08:53.873351 - DELETE: Deleted by phone number and person: 123-1234,Cher
2024-11-13T13:08:54.797459 - ADD: Added: Cher, 1(703)123-1234
2024-11-13T13:08:54.806859 - DELETE: Deleted by phone number and person: 1(703)123-1234,Cher
2024-11-13T13:08:55.126281 - ADD: Added: Cher, 011 701 111 1234
2024-11-13T13:08:55.142126 - DELETE: Deleted by phone number and person: 011 701 111 1234,Cher
2024-11-13T13:08:55.456119 - ADD: Added: Cher, 12345.12345
2024-11-13T13:08:55.469448 - DELETE: Deleted by phone number and person: 12345.12345,Cher
2024-11-13T13:08:55.788441 - ADD: Added: Cher, 011 1 703 111 1234
2024-11-13T13:08:55.804876 - DELETE: Deleted by phone number and person: 011 1 703 111 1234,Cher
2024-11-13T13:08:56.145986 - ADD: Added: Cher, 22.22.22.22
2024-11-13T13:08:56.163081 - DELETE: Deleted by phone number and person: 22.22.22.22,Cher
2024-11-13T13:08:56.479569 - ADD: Added: Cher, 2222.2222
2024-11-13T13:08:56.494743 - DELETE: Deleted by phone number and person: 2222.2222,Cher
2024-11-13T13:08:56.795676 - ADD: Added: Cher, 111 111 1111
2024-11-13T13:08:56.842927 - DELETE: Deleted by phone number and person: 111 111 1111,Cher
2024-11-13T13:08:57.170253 - ADD: Added: Cher, (670)123-4567
2024-11-13T13:08:57.185871 - DELETE: Deleted by phone number and person: (670)123-4567,Cher
2024-11-13T13:08:57.502997 - ADD: Added: Cher, 670-123-4567
2024-11-13T13:08:57.518875 - DELETE: Deleted by phone number and person: 670-123-4567,Cher
2024-11-13T13:08:57.848413 - ADD: Added: Cher, 1-670-123-4567
2024-11-13T13:08:57.864365 - DELETE: Deleted by phone number and person: 1-670-123-4567,Cher
2024-11-13T13:08:58.179757 - ADD: Added: Cher, 1(670)123-4567
2024-11-13T13:08:58.179757 - DELETE: Deleted by phone number and person: 1(670)123-4567,Cher
2024-11-13T13:08:58.526645 - ADD: Added: Cher, 670 123 4567
2024-11-13T13:08:58.542299 - DELETE: Deleted by phone number and person: 670 123 4567,Cher
2024-11-13T13:08:58.866003 - ADD: Added: Cher, 670.123.4567
2024-11-13T13:08:58.888180 - DELETE: Deleted by phone number and person: 670.123.4567,Cher
2024-11-13T13:08:59.198210 - ADD: Added: Cher, 1 670 123 4567
2024-11-13T13:08:59.214168 - DELETE: Deleted by phone number and person: 1 670 123 4567,Cher
2024-11-13T13:08:59.527004 - ADD: Added: Cher, 1.670.123.4567
2024-11-13T13:08:59.542219 - DELETE: Deleted by phone number and person: 1.670.123.4567,Cher
2024-11-13T13:09:21.153040 - ADD: Added: Bruce Schneier, 123-4567
2024-11-13T13:09:21.168850 - DELETE: Deleted by name: Bruce Schneier,123-4567
2024-11-13T13:09:21.480181 - ADD: Added: Schneier, Bruce, 123-4567
2024-11-13T13:09:21.480181 - DELETE: Deleted by name: Schneier, Bruce,123-4567
2024-11-13T13:09:21.805576 - ADD: Added: Schneier, Bruce Wayne, 123-4567
2024-11-13T13:09:21.819798 - DELETE: Deleted by name: Schneier, Bruce Wayne,123-4567
2024-11-13T13:09:22.131832 - ADD: Added: O’Malley, John F., 123-4567
2024-11-13T13:09:22.147587 - DELETE: Deleted by name: O’Malley, John F.,123-4567
2024-11-13T13:09:22.466983 - ADD: Added: John O’Malley-Smith, 123-4567
2024-11-13T13:09:22.478599 - DELETE: Deleted by name: John O’Malley-Smith,123-4567
2024-11-13T13:09:22.780513 - ADD: Added: Cher, 123-4567
2024-11-13T13:09:22.796145 - DELETE: Deleted by name: Cher,123-4567
2024-11-13T13:09:25.226200 - ADD: Added: John Doe, 12345
2024-11-13T13:09:25.257526 - DELETE: Deleted by phone number and person: 12345,John Doe
2024-11-13T13:09:25.556320 - ADD: Added: John Doe, (703)111-2121
2024-11-13T13:09:25.582059 - DELETE: Deleted by phone number and person: (703)111-2121,John Doe
2024-11-13T13:09:25.896853 - ADD: Added: John Doe, 123-1234
2024-11-13T13:09:25.912949 - DELETE: Deleted by phone number and person: 123-1234,John Doe
2024-11-13T13:09:26.867549 - ADD: Added: John Doe, 1(703)123-1234
2024-11-13T13:09:26.883161 - DELETE: Deleted by phone number and person: 1(703)123-1234,John Doe
2024-11-13T13:09:27.234888 - ADD: Added: John Doe, 011 701 111 1234
2024-11-13T13:09:27.248979 - DELETE: Deleted by phone number and person: 011 701 111 1234,John Doe
2024-11-13T13:09:27.550104 - ADD: Added: John Doe, 12345.12345
2024-11-13T13:09:27.569623 - DELETE: Deleted by phone number and person: 12345.12345,John Doe
2024-11-13T13:09:27.885055 - ADD: Added: John Doe, 011 1 703 111 1234
2024-11-13T13:09:27.897571 - DELETE: Deleted by phone number and person: 011 1 703 111 1234,John Doe
2024-11-13T13:09:28.213234 - ADD: Added: John Doe, 22.22.22.22
2024-11-13T13:09:28.228861 - DELETE: Deleted by phone number and person: 22.22.22.22,John Doe
2024-11-13T13:09:28.541609 - ADD: Added: John Doe, 2222.2222
2024-11-13T13:09:28.557247 - DELETE: Deleted by phone number and person: 2222.2222,John Doe
2024-11-13T13:09:28.872818 - ADD: Added: John Doe, 111 111 1111
2024-11-13T13:09:28.888760 - DELETE: Deleted by phone number and person: 111 111 1111,John Doe
2024-11-13T13:09:29.189420 - ADD: Added: John Doe, (670)123-4567
2024-11-13T13:09:29.211635 - DELETE: Deleted by phone number and person: (670)123-4567,John Doe
2024-11-13T13:09:29.522819 - ADD: Added: John Doe, 670-123-4567
2024-11-13T13:09:29.538550 - DELETE: Deleted by phone number and person: 670-123-4567,John Doe
2024-11-13T13:09:29.848744 - ADD: Added: John Doe, 1-670-123-4567
2024-11-13T13:09:29.873203 - DELETE: Deleted by phone number and person: 1-670-123-4567,John Doe
2024-11-13T13:09:30.192603 - ADD: Added: John Doe, 1(670)123-4567
2024-11-13T13:09:30.204760 - DELETE: Deleted by phone number and person: 1(670)123-4567,John Doe
2024-11-13T13:09:30.536399 - ADD: Added: John Doe, 670 123 4567
2024-11-13T13:09:30.552411 - DELETE: Deleted by phone number and person: 670 123 4567,John Doe
2024-11-13T13:09:30.868116 - ADD: Added: John Doe, 670.123.4567
2024-11-13T13:09:30.890267 - DELETE: Deleted by phone number and person: 670.123.4567,John Doe
2024-11-13T13:09:31.197355 - ADD: Added: John Doe, 1 670 123 4567
2024-11-13T13:09:31.216078 - DELETE: Deleted by phone number and person: 1 670 123 4567,John Doe
2024-11-13T13:09:31.529945 - ADD: Added: John Doe, 1.670.123.4567
2024-11-13T13:09:31.544981 - DELETE: Deleted by phone number and person: 1.670.123.4567,John Doe
2024-11-13T13:20:38.461468 - LIST: Listed phonebook entries
2024-11-13T13:29:00.440921 - ADD: Added: Bruce Schneier, +1(703)111-2121
2024-11-13T13:29:13.225039 - ADD: Added: Bruce Schneier, 12345
2024-11-13T13:29:13.239586 - DELETE: Deleted by phone number and person: 12345,Bruce Schneier
2024-11-13T13:29:13.582063 - ADD: Added: Bruce Schneier, (703)111-2121
2024-11-13T13:29:13.597697 - DELETE: Deleted by phone number and person: (703)111-2121,Bruce Schneier
